"LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","ALLSKY_SFC_SW_DWN","RH2M","T2M","T2MDEW","T2M_MAX","WS2M","ALLSKY_SFC_LW_DWN","PS","YEAR","T2MWET","T2M_MIN","WD50M","WS50M","ALLSKY_SFC_SW_DIFF","ALLSKY_SFC_SW_DNI","ALLSKY_SRF_ALB","CLOUD_AMT","YEAR","PRECTOTCORR","WD2M","TOA_SW_DWN","GWETPROF","TS","WD10M","WS10M","ALLSKY_KT","YEAR","ALLSKY_SFC_PAR_TOT","CLRSKY_SFC_SW_DWN","GWETROOT","QV2M","T2M_RANGE","GWETTOP","WS10M_MAX","WS10M_MIN","YEAR","WS10M_RANGE","WS50M_MAX","WS50M_MIN","ALLSKY_SFC_UVA","WS50M_RANGE","ALLSKY_SFC_UVB","ALLSKY_SFC_UV_INDEX","CDD0","YEAR","CDD18_3","CLRSKY_KT","CLRSKY_SFC_PAR_TOT","FROST_DAYS","HDD0","HDD18_3","IMERG_PRECTOT","MIDDAY_INSOL","YEAR","SNODP","SZA","TOA_SW_DNI","TS_MAX","TS_MIN","WS2M_MAX","WS2M_MIN","WS2M_RANGE","YEAR","AOD_55","PW","AIRMASS","U10M","V10M","ALLSKY_NKT","ALLSKY_SFC_LW_UP","ALLSKY_SFC_PAR_DIFF","YEAR","ALLSKY_SFC_PAR_DIRH","ALLSKY_SFC_SW_DIRH","ALLSKY_SFC_SW_UP","AOD_55_ADJ","AOD_84","CLOUD_AMT_DAY","CLOUD_AMT_NIGHT","CLOUD_OD","YEAR","CLRSKY_DAYS","CLRSKY_NKT","CLRSKY_SFC_LW_DWN","CLRSKY_SFC_LW_UP","CLRSKY_SFC_PAR_DIFF","CLRSKY_SFC_PAR_DIRH","CLRSKY_SFC_SW_DIFF","CLRSKY_SFC_SW_DIRH","YEAR","CLRSKY_SFC_SW_DNI","CLRSKY_SFC_SW_UP","CLRSKY_SRF_ALB","DISPH","EVLAND","EVPTRNS","FRSEAICE","FRSNO","YEAR","IMERG_PRECLIQUID_PROB","IMERG_PRECTOT_COUNT","ORIGINAL_ALLSKY_SFC_LW_DWN","ORIGINAL_ALLSKY_SFC_SW_DIFF","ORIGINAL_ALLSKY_SFC_SW_DIRH","ORIGINAL_ALLSKY_SFC_SW_DWN","ORIGINAL_CLRSKY_SFC_LW_DWN","ORIGINAL_CLRSKY_SFC_SW_DWN","YEAR","PBLTOP","PRECSNO","PRECSNOLAND","PSH","QV10M","RHOA","SLP","SRF_ALB_ADJ","YEAR","T10M","T10M_MAX","T10M_MIN","T10M_RANGE","TO3","TQV","TROPPB","TROPQ","YEAR","TROPT","TSOIL1","TSOIL2","TSOIL3","TSOIL4","TSOIL5","TSOIL6","TSURF","YEAR","TS_ADJ","TS_RANGE","U2M","U50M","V2M","V50M","Z0M"
108.025131,34.300369,2025,6,20,171,2025-06-20,11.65,62.7,26,17.76,31.32,1.75,35.58,92.31,2025,21.88,21.37,10.8,3.36,9.19,1.06,0.18,97.29,2025,2.36,18.9,41.49,0.45,26.8,15.6,2.55,0.28,2025,5.57,27.13,0.42,13.88,9.95,0.41,4.72,0.52,2025,4.2,5.46,0.76,0.76,4.7,0.02,1.18,26.35,2025,8.05,0.65,12.21,0,0,0,NA,31.6,2025,0,NA,71.22,36.21,20.92,3.39,0.26,3.13,2025,0.6,4.19,4.06,-0.48,-1.72,0.37,38.68,5.45,2025,0.11,2.46,1.98,0.6,0.4,98.31,95.59,10.4,2025,0,0.85,33.52,38.63,6.19,6.02,10.59,16.54,2025,21.95,4.46,0.18,0.33,1.98,0.57,0,0,2025,NA,NA,NA,11.34,0.31,NA,NA,NA,2025,83,0,0,0.28,13.61,1.07,100.35,0.18,2025,25.92,30.22,21.84,8.38,289.98,42.03,11.92,0,2025,-68.11,26.5,25.65,23.7,19.57,14.45,13.44,26.79,2025,25.01,15.29,-0.41,-0.43,-1.2,-2.28,0.07
108.025131,34.300369,2025,6,21,172,2025-06-21,23.41,59.77,27.13,17.55,33.43,1.59,34.98,92.41,2025,22.34,19.51,84.1,3.13,10.68,15.37,0.16,58.87,2025,0.71,86.3,41.49,0.45,28.82,85.5,2.38,0.56,2025,10.5,26.71,0.42,13.66,13.92,0.4,4.28,0.88,2025,3.4,4.92,1.35,1.33,3.57,0.04,2.1,26.47,2025,8.17,0.64,11.87,0,0,0,NA,70.45,2025,0,NA,71.19,39.25,18.92,3.21,0.47,2.74,2025,0.74,3.69,4.06,-1.61,-0.13,0.74,40.85,6.94,2025,3.56,12.74,3.3,0.74,0.49,44.56,82.71,2.26,2025,0,0.84,33.78,40.82,6.21,5.66,10.67,16.04,2025,20.81,3.69,0.16,0.33,2.45,1.07,0,0,2025,NA,NA,NA,13.33,10.08,NA,NA,NA,2025,82.57,0,0,0.56,13.24,1.07,100.45,0.16,2025,27,31.99,20.36,11.63,292.09,36.19,11.39,0,2025,-67.44,27.42,25.67,23.65,19.68,14.54,13.44,28.82,2025,29.02,20.33,-1.18,-1.96,-0.08,-0.2,0.07
108.025131,34.300369,2025,6,22,173,2025-06-22,17.7,60.93,25.91,17.2,31.49,1.59,35.74,92.41,2025,21.56,20.45,111.9,3.09,12.16,4,0.18,96.12,2025,2.23,102.6,41.48,0.45,26.44,103,2.31,0.43,2025,8.15,27.46,0.42,13.38,11.04,0.41,4.96,0.75,2025,4.21,5.88,1.03,1.08,4.85,0.03,1.75,25.97,2025,7.67,0.66,12.38,0,0,0,NA,65.66,2025,0,NA,71.21,34.1,19.66,3.64,0.41,3.23,2025,0.48,3.97,4.07,-0.86,0.2,0.56,41.03,7.52,2025,0.63,5.55,3.04,0.48,0.32,95.88,96.53,10.95,2025,0,0.86,33.28,40.97,5.58,6.8,9.43,18.04,2025,24.3,4.55,0.18,0.33,1.97,0.43,0,0,2025,NA,NA,NA,16.08,1.62,NA,NA,NA,2025,81.8,0,0,0.43,12.95,1.07,100.48,0.18,2025,25.83,30.82,21.17,9.65,293.09,39.81,15.39,0.05,2025,-59.01,26.75,26.16,23.76,19.79,14.64,13.44,26.44,2025,29.44,14.44,-0.68,-0.8,0.15,0.32,0.07
108.025131,34.300369,2025,6,23,174,2025-06-23,25.5,50.11,26.29,13.69,33.15,1.76,33.95,92.22,2025,19.99,18.67,81.4,3.77,10.04,18.56,0.16,65.2,2025,0.3,82.3,41.47,0.45,27.85,79.9,2.67,0.61,2025,11.4,27.57,0.42,10.7,14.48,0.39,5.06,0.67,2025,4.39,5.92,1.05,1.44,4.87,0.04,2.05,25.91,2025,7.61,0.66,12.24,0,0,0,NA,73.76,2025,0,NA,71.16,39.01,17.81,3.65,0.53,3.12,2025,0.44,3.17,4.07,-1.86,-0.33,0.8,39.99,6.46,2025,4.94,15.46,3.73,0.44,0.3,47.9,94.01,3.28,2025,0,0.87,32.13,39.95,5.39,6.85,9.15,18.42,2025,25.17,4.01,0.16,0.33,2.35,0.98,0,0,2025,NA,NA,NA,12.38,13.12,NA,NA,NA,2025,77.51,0,0,0.61,10.37,1.07,100.31,0.16,2025,26.18,31.64,19.6,12.04,310.86,31.64,21.47,0.1,2025,-48.11,26.75,25.5,23.74,19.88,14.73,13.44,27.85,2025,27.45,21.2,-1.34,-2.48,-0.18,-0.37,0.07
108.025131,34.300369,2025,6,24,175,2025-06-24,11.26,49.96,25.24,13.53,30.56,1.62,34.32,92.46,2025,19.38,20.41,96.3,3.39,9.22,0.15,0.18,99.77,2025,1.78,87.2,41.46,0.45,25.44,90.2,2.45,0.27,2025,5.17,23.85,0.42,10.55,10.15,0.39,4.6,0.22,2025,4.38,5.31,0.35,0.63,4.96,0.02,0.93,25.48,2025,7.18,0.58,10.12,0,0,0,NA,31.69,2025,0,NA,71.18,34.47,19.54,3.43,0.13,3.3,2025,0.96,3.46,4.08,-1.72,0.01,0.35,38.5,5.16,2025,0.01,2.04,2.03,0.96,0.64,99.76,99.78,10.37,2025,0,0.75,31.88,38.44,6.67,3.45,12.09,11.75,2025,15.71,4.1,0.19,0.33,1.39,0.39,0,0,2025,NA,NA,NA,11.23,0.03,NA,NA,NA,2025,80.57,0,0,0.27,9.83,1.07,100.56,0.18,2025,25.43,29.45,21.17,8.28,290.25,34.84,15.08,0.02,2025,-64.41,25.88,25.67,23.76,19.98,14.82,13.44,25.44,2025,24.71,14.93,-1.26,-2.01,-0.06,0.22,0.07
108.025131,34.300369,2025,6,25,176,2025-06-25,8.94,74.94,20.26,15.52,23.85,1.56,33.43,92.68,2025,17.89,18.11,81.9,3.3,7.11,0.48,0.18,98.01,2025,7.26,85.3,41.44,0.45,20.8,84.5,2.32,0.22,2025,4.32,26.69,0.43,11.91,5.74,0.49,4.17,0.82,2025,3.35,5.83,1.15,0.61,4.68,0.02,1.04,20.98,2025,2.68,0.64,11.84,0,0,0,NA,24.9,2025,0,NA,71.19,27.72,16.51,3.11,0.54,2.57,2025,0.69,3.72,4.09,-1.36,-0.13,0.28,35.78,4.28,2025,0.04,1.83,1.55,0.69,0.46,99.63,95.31,22.03,2025,0,0.84,30.33,35.7,6.98,4.86,12,14.69,2025,19.63,4.49,0.19,0.33,2.16,0.31,0,0,2025,NA,NA,NA,8.82,0.12,NA,NA,NA,2025,83.73,0,0,0.21,11.54,1.09,100.87,0.18,2025,20.25,22.94,18.32,4.62,291.27,37.94,16.4,0.03,2025,-60.41,22.35,24.06,23.59,20.06,14.92,13.44,20.8,2025,19.3,11.21,-0.99,-1.41,-0.08,-0.2,0.07
108.025131,34.300369,2025,6,26,177,2025-06-26,23.42,59.93,23.83,14.65,31.58,1.2,33.57,92.4,2025,19.24,16.33,110,2.39,10.38,15.59,0.15,57.16,2025,0.13,104.9,41.43,0.45,25.87,106.2,1.78,0.57,2025,10.48,26.93,0.43,11.29,15.25,0.41,4.32,0.42,2025,3.9,7.41,0.06,1.33,7.35,0.03,1.89,23.96,2025,5.66,0.65,11.94,0,0,0,NA,74.41,2025,0,NA,71.18,37.96,15.24,2.92,0.35,2.57,2025,0.58,3.35,4.1,-1.46,0.42,0.74,39.07,6.66,2025,3.83,13.04,3.22,0.58,0.38,48.52,71.58,3.55,2025,0,0.85,31.68,39.03,6.03,5.91,10.25,16.69,2025,22.18,3.64,0.15,0.33,2.43,1.65,0,0,2025,NA,NA,NA,12.8,10.62,NA,NA,NA,2025,81.17,0,0,0.56,11.07,1.08,100.48,0.15,2025,23.53,30.33,17.24,13.09,312.7,33.68,20.16,0.06,2025,-49.77,24.52,23.28,23.1,20.11,15.01,13.44,25.87,2025,25.62,22.72,-1,-1.91,0.27,0.69,0.07
108.025131,34.300369,2025,6,27,178,2025-06-27,22.77,53.36,26.97,15.85,34.15,1.16,35.33,91.99,2025,21.41,19.29,195.6,2.88,9.94,15.2,0.17,67.4,2025,2.35,190.6,41.41,0.45,28.18,189.8,1.76,0.55,2025,10.37,27.67,0.43,12.32,14.86,0.4,3.7,0.15,2025,3.55,6.66,0.29,1.36,6.37,0.04,2.17,26.72,2025,8.42,0.67,12.45,0,0,0,NA,67.43,2025,0,NA,71.18,39.14,17.84,2.51,0.06,2.45,2025,0.51,3.78,4.11,0.2,1.17,0.72,41.02,6.24,2025,4.13,12.83,3.79,0.51,0.33,60.92,78.21,4.94,2025,0,0.87,33.47,40.98,5.81,6.64,9.84,17.83,2025,23.87,4.56,0.18,0.33,3,1.51,0,0,2025,NA,NA,NA,12.44,10.33,NA,NA,NA,2025,79.61,0,0,0.55,11.89,1.06,99.97,0.17,2025,26.87,33.32,19.97,13.35,300.29,37.1,13.05,0.01,2025,-62.39,26.58,24.6,22.95,20.13,15.1,13.44,28.18,2025,29.23,21.3,0.15,0.54,0.8,1.92,0.07
108.025131,34.300369,2025,6,28,179,2025-06-28,28.32,53.7,28.71,17.35,35.42,1.95,34.88,91.72,2025,23.03,22.46,98.1,4.51,7.2,27.79,0.17,19.75,2025,2.24,80.4,41.39,0.45,30.06,81.6,2.91,0.68,2025,12.88,28.71,0.43,13.6,12.96,0.41,4.55,0.17,2025,4.38,7.23,0.35,1.66,6.88,0.04,2.4,28.94,2025,10.64,0.69,13.04,0,0,0,NA,83.3,2025,0,NA,71.18,40.82,21.61,3.22,0.14,3.08,2025,0.32,3.93,4.13,-0.69,-0.1,0.9,41.76,4.98,2025,7.9,21.13,4.61,0.33,0.21,11.7,33.15,2.11,2025,0,0.91,34.49,41.75,4.76,8.28,7.85,20.86,2025,28.85,4.68,0.18,0.33,3.2,1.58,0,0,2025,NA,NA,NA,8.51,19.82,NA,NA,NA,2025,78.12,0,0,0.68,13.23,1.05,99.64,0.17,2025,28.5,34.41,23.02,11.39,317.46,38.7,21.27,0.11,2025,-46.72,28.59,26.09,23.2,20.16,15.19,13.44,30.06,2025,30.71,19.21,-0.52,-0.63,-0.09,0.09,0.07
108.025131,34.300369,2025,6,29,180,2025-06-29,24.57,62.49,28.52,19.74,35.52,1.38,36.31,91.69,2025,24.13,21.84,95.7,2.93,10.24,16.96,0.16,55.32,2025,5.57,102,41.37,0.45,29.67,98,2.05,0.59,2025,11.22,27.46,0.43,15.85,13.68,0.43,4.1,0.14,2025,3.96,5.05,0.32,1.45,4.73,0.04,2.22,28.68,2025,10.38,0.66,12.48,0,0,0,NA,75.7,2025,0,NA,66.41,40.54,21.19,3,0.04,2.96,2025,0.5,4.45,2.51,-1.47,0.21,0.69,41.69,6.76,2025,4.46,14.33,3.91,0.51,0.33,46.42,67.78,3.71,2025,0,0.77,35.28,41.66,5.55,6.93,9.27,18.18,2025,24.27,4.35,0.16,0.33,3.01,1.18,0,0,2025,NA,NA,NA,12.91,11.66,NA,NA,NA,2025,80.3,0,0,0.59,15.18,1.05,99.61,0.16,2025,28.4,34.37,22.39,11.98,296.66,43.7,15.71,0.02,2025,-57.85,28.75,26.87,23.64,20.21,15.28,13.45,29.66,2025,30.63,19.35,-1,-1.91,0.21,0.19,0.07
